name,year,award,movie,win
Anne Revere,1945,ACTRESS IN A SUPPORTING ROLE,National Velvet,True
Fredric March,1946,ACTOR,The Best Years of Our Lives,True
Laurence Olivier,1946,ACTOR,Henry V,False
Larry Parks,1946,ACTOR,The Jolson Story,False
Gregory Peck,1946,ACTOR,The Yearling,False
James Stewart,1946,ACTOR,It's a Wonderful Life,False
Charles Coburn,1946,ACTOR IN A SUPPORTING ROLE,The Green Years,False
William Demarest,1946,ACTOR IN A SUPPORTING ROLE,The Jolson Story,False
Claude Rains,1946,ACTOR IN A SUPPORTING ROLE,Notorious,False
Harold Russell,1946,ACTOR IN A SUPPORTING ROLE,The Best Years of Our Lives,True
Clifton Webb,1946,ACTOR IN A SUPPORTING ROLE,The Razor's Edge,False
Olivia de Havilland,1946,ACTRESS,To Each His Own,True
Celia Johnson,1946,ACTRESS,Brief Encounter,False
Jennifer Jones,1946,ACTRESS,Duel in the Sun,False
Rosalind Russell,1946,ACTRESS,Sister Kenny,False
Jane Wyman,1946,ACTRESS,The Yearling,False
Ethel Barrymore,1946,ACTRESS IN A SUPPORTING ROLE,The Spiral Staircase,False
Anne Baxter,1946,ACTRESS IN A SUPPORTING ROLE,The Razor's Edge,True
Lillian Gish,1946,ACTRESS IN A SUPPORTING ROLE,Duel in the Sun,False
Flora Robson,1946,ACTRESS IN A SUPPORTING ROLE,Saratoga Trunk,False
Gale Sondergaard,1946,ACTRESS IN A SUPPORTING ROLE,Anna and the King of Siam,False
Ronald Colman,1947,ACTOR,A Double Life,True
John Garfield,1947,ACTOR,Body and Soul,False
Gregory Peck,1947,ACTOR,Gentleman's Agreement,False
William Powell,1947,ACTOR,Life with Father,False
Michael Redgrave,1947,ACTOR,Mourning Becomes Electra,False
Charles Bickford,1947,ACTOR IN A SUPPORTING ROLE,The Farmer's Daughter,False
Thomas Gomez,1947,ACTOR IN A SUPPORTING ROLE,Ride the Pink Horse,False
Edmund Gwenn,1947,ACTOR IN A SUPPORTING ROLE,Miracle on 34th Street,True
Robert Ryan,1947,ACTOR IN A SUPPORTING ROLE,Crossfire,False
Richard Widmark,1947,ACTOR IN A SUPPORTING ROLE,Kiss of Death,False
Joan Crawford,1947,ACTRESS,Possessed,False
Susan Hayward,1947,ACTRESS,Smash-Up--The Story of a Woman,False
Dorothy McGuire,1947,ACTRESS,Gentleman's Agreement,False
Rosalind Russell,1947,ACTRESS,Mourning Becomes Electra,False
Loretta Young,1947,ACTRESS,The Farmer's Daughter,True
Ethel Barrymore,1947,ACTRESS IN A SUPPORTING ROLE,The Paradine Case,False
Gloria Grahame,1947,ACTRESS IN A SUPPORTING ROLE,Crossfire,False
Celeste Holm,1947,ACTRESS IN A SUPPORTING ROLE,Gentleman's Agreement,True
Marjorie Main,1947,ACTRESS IN A SUPPORTING ROLE,The Egg and I,False
Anne Revere,1947,ACTRESS IN A SUPPORTING ROLE,Gentleman's Agreement,False
Lew Ayres,1948,ACTOR,Johnny Belinda,False
Montgomery Clift,1948,ACTOR,The Search,False
Dan Dailey,1948,ACTOR,When My Baby Smiles at Me,False
Laurence Olivier,1948,ACTOR,Hamlet,True
Clifton Webb,1948,ACTOR,Sitting Pretty,False
Charles Bickford,1948,ACTOR IN A SUPPORTING ROLE,Johnny Belinda,False
José Ferrer,1948,ACTOR IN A SUPPORTING ROLE,Joan of Arc,False
Oscar Homolka,1948,ACTOR IN A SUPPORTING ROLE,I Remember Mama,False
Walter Huston,1948,ACTOR IN A SUPPORTING ROLE,The Treasure of the Sierra Madre,True
Cecil Kellaway,1948,ACTOR IN A SUPPORTING ROLE,The Luck of the Irish,False
Ingrid Bergman,1948,ACTRESS,Joan of Arc,False
Olivia de Havilland,1948,ACTRESS,The Snake Pit,False
Irene Dunne,1948,ACTRESS,I Remember Mama,False
Barbara Stanwyck,1948,ACTRESS,"Sorry, Wrong Number",False
Jane Wyman,1948,ACTRESS,Johnny Belinda,True
Barbara Bel Geddes,1948,ACTRESS IN A SUPPORTING ROLE,I Remember Mama,False
Ellen Corby,1948,ACTRESS IN A SUPPORTING ROLE,I Remember Mama,False
Agnes Moorehead,1948,ACTRESS IN A SUPPORTING ROLE,Johnny Belinda,False
Jean Simmons,1948,ACTRESS IN A SUPPORTING ROLE,Hamlet,False
Claire Trevor,1948,ACTRESS IN A SUPPORTING ROLE,Key Largo,True
Broderick Crawford,1949,ACTOR,All the King's Men,True
Kirk Douglas,1949,ACTOR,Champion,False
Gregory Peck,1949,ACTOR,Twelve O'Clock High,False
Richard Todd,1949,ACTOR,The Hasty Heart,False
John Wayne,1949,ACTOR,Sands of Iwo Jima,False
John Ireland,1949,ACTOR IN A SUPPORTING ROLE,All the King's Men,False
Dean Jagger,1949,ACTOR IN A SUPPORTING ROLE,Twelve O'Clock High,True
Arthur Kennedy,1949,ACTOR IN A SUPPORTING ROLE,Champion,False
Ralph Richardson,1949,ACTOR IN A SUPPORTING ROLE,The Heiress,False
James Whitmore,1949,ACTOR IN A SUPPORTING ROLE,Battleground,False
